guid,Section,Category,Mechanism,title,FOA Number,Content,Application Receipt Date,Application Receipt Date - Other,Expiration Date,Highlighted,Default,published
133,Selected NCI-Led Opportunities,Research Program Projects & Centers,P01,National Cancer Institute Program Project Applications (P01),PAR-13-321,,,Standard dates apply,29-Oct-14,0,0,1
134,CSSI Specific Opportunities,Cooperative Agreements; Research Program Projects & Centers,U54,Centers of Cancer Nanotechnology Excellence (CCNEs) (U54),RFA-CA-14-013,,3-Nov-14,,4-Nov-14,0,0,1
135,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Cancer Intervention and Surveillance Modeling Network (CISNET) (U01),RFA-CA-14-012,,14-Nov-14,,15-Nov-14,0,0,1
136,Selected NCI-Led Opportunities,Research Projects,R21,Exploratory/Developmental Grants Program for Basic Cancer Research in Cancer Health Disparities (R21),PAR-12-094,,20-Nov-14,,21-Nov-14,0,0,1
137,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Basic Cancer Research in Cancer Health Disparities (U01),PAR-12-095,,20-Nov-14,,21-Nov-14,0,0,1
138,CSSI Specific Opportunities,Non-Grant Research Support,Other,Proteomic Characterization of PS-ON Cell Lines,,http://proteomics.cancer.gov/newsevents/newsannouncements/archive/2014/PSOCresearchfundingopportunity,21-Nov-14,,22-Nov-14,0,0,1
139,Selected NIH Opportunities ,Non-Grant Research Support,Other,Prize Competition: Challenges in Single Cell Analysis,NOT-RM-14-014,,15-Dec-14,,16-Dec-14,0,0,1
140,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,4D Nucleome Network Organizational Hub (U01),RFA-RM-14-010,,16-Dec-14,,17-Dec-14,0,0,1
141,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,4D Nucleome Network Data Coordination and Integration Center (U01),RFA-RM-14-011,,16-Dec-14,,17-Dec-14,0,0,1
142,Selected NIH Opportunities ,Cooperative Agreements; Research Program Projects & Centers,U54,Nuclear Organization and Function Interdisciplinary Consortium (NOFIC)(U54),RFA-RM-14-006,,16-Dec-14,,17-Dec-14,0,0,1
143,Selected NCI Opportunities,Research Projects,R21,Pre-application: Opportunities for Collaborative Research at the NIH Clinical Center (X02),PAR-13-357,,20-Dec-14,,21-Dec-14,0,0,1
144,Selected NIH Opportunities ,SBIR/STTR; Research Projects,R43/44,Development and Translation of Medical Technologies to Reduce Health Disparities (SBIR) (R43/R44),RFA-EB-14-001,,"September 23, 2014; September 7, 2014; January 7, 2015",,8-Jan-15,0,0,1
145,Selected NCI-Led Opportunities,Training/Education/Conference Support,K22,The NCI Transition Career Development Award (K22),PAR-12-121,,,Standard dates apply,11-Dec-14,0,0,1
146,Selected NIH Opportunities ,Training/Education/Conference Support,K12,Building Interdisciplinary Research Careers in Women's Health (K12) ,RFA-OD-15-001,,5-Jan-15,,6-Jan-15,0,0,1
147,Selected NCI-Led Opportunities,Research Projects,R35,Outstanding Investigator Award (R35),PAR-14-267,,20-Oct-14,,8-Jan-15,0,0,1
148,Selected NCI-Led Opportunities,SBIR/STTR; Research Projects,R44,Innovative Health Information Technology for Broad Adoption by Healthcare Systems and Consumers (SBIR) (R44),PA-12-196,,,Standard dates apply.,8-Jan-15,0,0,1
149,Selected NCI-Led Opportunities,Non-Grant Research Support,Other,"Proposals for access to Prostate, Lung, Colorectal and Ovarian (PLCO) biospecimens, The Etiologic and Early Marker Studies (EEMS) Program",,https://www.plcostars.com/Default.aspx?projectid=2c74312f-2a93-4d34-ba81-55604d8ebe50,15-Jan-15,,16-Jan-15,0,0,1
150,Non-NIH Opportunities ,Training/Education/Conference Support,Other,Whitaker International Fellows and Scholars Program,,http://www.whitaker.org,20-Jan-15,,,0,0,1
151,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,The Early Detection Research Network: Biomarker Developmental Laboratories (U01),RFA-CA-14-014,,20-Jan-15,,21-Jan-15,0,0,1
152,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01, Early Detection Research Network: Clinical Validation Centers (U01),RFA-CA-14-015,,20-Jan-15,,21-Jan-15,0,0,1
153,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U24,The Early Detection Research Network: Biomarker Reference Laboratories (U24),RFA-CA-14-016,,20-Jan-15,,21-Jan-15,0,0,1
154,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U24,The Early Detection Research Network: Data Management and Coordinating Center (U24),RFA-CA-14-017,,20-Jan-15,,21-Jan-15,0,0,1
155,Selected NIH Opportunities ,Research Projects,DP5,NIH Director's Early Independence Awards (DP5),RFA-RM-14-004,,30-Jan-15,,31-Jan-15,0,0,1
156,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,Nucleomics Tools (U01) ,RFA-RM-14-007,,2-Feb-15,,3-Feb-15,0,0,1
157,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,Study of Nuclear Bodies and Compartments (U01),RFA-RM-14-008,,2-Feb-15,,3-Feb-15,0,0,1
158,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,4D Nucleome Imaging Tools (U01),RFA-RM-14-009,,2-Feb-15,,3-Feb-15,0,0,1
159,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,BRAIN Initiative: New Technologies and Novel Approaches for Large-Scale Recording and Modulation in the Nervous System (U01),RFA-NS-15-003,,10-Feb-15,,11-Feb-15,0,0,1
160,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,BRAIN Initiative: Optimization of Transformative Technologies for Large Scale Recording and Modulation in the Nervous System (U01),RFA-NS-15-004,,10-Feb-15,,11-Feb-15,0,0,1
161,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,BRAIN Initiative: Integrated Approaches to Understanding Circuit Function in the Nervous System (U01),RFA-NS-15-005,,10-Feb-15,,2-Nov-15,0,0,1
162,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U24,Oncology Models Forum (U24),PAR-14-239,,"August 7, 2014; May 1, 2015",,3-Feb-15,0,0,1
163,Non-NIH Opportunities ,Research Projects; Training/Education/Conference Support,Other,2015 Bladder Cancer Advocacy Network (BCAN) Young Investigator Awards,,http://www.bcan.org/research/young-investigator-awards/,4-Mar-15,,4-Mar-15,0,0,1
164,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,UH2/UH3,"Cancer Detection, Diagnosis, and Treatment Technologies for Global Health (UH2/UH3)",RFA-CA-15-001,,6-Mar-15,,7-Mar-15,0,0,1
165,Selected NCI Opportunities,Training/Education/Conference Support,R25,NIH Big Data to Knowledge (BD2K) Initiative Research Education: Massive Open Online Course (MOOC) on Data Management for Biomedical Big Data (R25),RFA-LM-15-001,,17-Mar-15,,18-Mar-15,0,0,1
166,Selected NCI Opportunities,Training/Education/Conference Support,R25,"NIH Big Data to Knowledge (BD2K) Initiative Research Education: Open Educational Resources for Sharing, Annotating and Curating Biomedical Big Data (R25)",RFA-LM-15-002,,17-Mar-15,,18-Mar-15,0,0,1
167,Selected NIH Opportunities ,Research Projects,R24,BRAIN Initiative: Planning for Next Generation Human Brain Imaging (R24) - See more at: http://grants.nih.gov/grants/guide/rfa-files/RFA-MH-15-200.html#sthash.oBq6WCC3.dpuf,,,,,,0,0,1
168,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,"	BRAIN Initiative: Development and Validation of Novel Tools to Analyze Cell-Specific and Circuit Specific Processes in the Brain (U01)",RFA-MH-15-225,,18-Mar-15,,19-Mar-15,0,0,1
169,Selected NCI-Led Opportunities,Research Program Projects & Centers,P20,Feasibility Studies to Build Collaborative Partnerships in Cancer Research (P20),PAR-14-152,,19-Mar-15,,20-Mar-15,0,0,1
170,Selected NCI Opportunities,Cooperative Agreements; Research Projects,U01,Opportunities for Collaborative Research at the NIH Clinical Center (U01),PAR-13-358,,20-Mar-15,,21-Mar-15,0,0,1
171,Selected NCI-Led Opportunities,Non-Grant Research Support,Other,Request for Proposals (RFP) Notice: Preclinical Prevent Cancer Program: Preclinical Efficacy and Intermediate Endpoint Biomarkers,NOT-CA-15-013,,,,30-Mar-15,0,0,1
172,Selected NCI Opportunities,Cooperative Agreements; Research Projects,U24,NIH Big Data to Knowledge (BD2K) Biomedical Data Science Training Coordination Center (U24),RFA-ES-15-004,,1-Apr-15,,2-Apr-15,0,0,1
173,Selected NIH Opportunities ,Research Projects,R01,NHLBI Systems Biology Collaborations (R01),PAR-12-138,,"September 14, 2012; January 14, 2013; September 13, 2013; January 13, 2014; September 15, 2014; January 13, 2015",,14-Jan-15,0,0,1
174,Selected NCI Opportunities,Research Projects,,NLM Administrative Supplements for Informationist Services in NIH-funded Research Projects (Admin Supp),PA-215-249,,17-Jul-15,,18-Jul-15,0,0,1
175,Selected NCI-Led Opportunities,Research Projects,R01,Provocative Questions (PQ) Initiative; Cancer with an Underlying HIV Infection (R01),RFA-CA-15-012,,"August 18, 2015; August 18, 2016 ",,19-Aug-16,0,0,1
176,Selected NCI-Led Opportunities,Research Projects,R21,Provocative Questions in Cancer with an Underlying HIV Infection (R21),RFA-CA-15-013,,"August 18, 2015; August 18, 2016 ",,19-Aug-16,0,0,1
177,Selected NIH Opportunities ,Research Projects,R01,NIH Transformative Research Awards (R01),RFA-RM-15-005,,9-Oct-15,,10-Oct-15,0,0,1
178,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,NHGRI Genome Sequencing Program Analysis Centers (U01),RFA-HG-15-026,,25-Aug-15,,26-Aug-15,0,0,1
179,Selected NIH Opportunities ,SBIR/STTR; Research Projects,R41/R42,PHS 2015-02 Omnibus Solicitation of the NIH for Small Business Technology Transfer Grant Applications (Parent STTR [R41/R42]),PA-15-269,,,"Multiple dates, see announcement",6-Apr-16,0,0,1
180,Selected NIH Opportunities ,SBIR/STTR; Research Projects,R43/R44,"PHS 2015-02 Omnibus Solicitation of the NIH, CDC, FDA and ACF for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44])",PA-15-270,,,"Multiple dates, see announcement",6-Apr-16,0,0,1
181,CSSI Specific Opportunities,Non-Grant Research Support,,Tissue Purchase Order Acquisitions for NCI's Clinical Proteomic Tumor Analysis Consortium (CPTAC) - Total Small Business Set-Aside,,https://www.fbo.gov/index?s=opportunity&mode=form&id=6db5cc5322b20262e2cdc755f1d73cf9&tab=core&_cview=1,,"Multiple dates, see announcement",17-Dec-15,0,1,1
182,CSSI Specific Opportunities,Non-Grant Research Support,,Tissue Purchase Order Acquisitions for NCI's Clinical Proteomic Tumor Analysis Consortium (CPTAC) - Full and Open Competition,,https://www.fbo.gov/index?s=opportunity&mode=form&id=e516eb1a93e67e5100af7d774e7cffaf&tab=core&_cview=1,,"Multiple dates, see announcement",17-Dec-15,0,1,1
183,Selected NCI-Led Opportunities,Research Projects,R21,Development of Innovative Informatics Methods and Algorithms for Cancer Research and Management (R21),PAR-15-334,,"November 20, 2015; June 14, 2016; November 21, 2016; June 14, 2017; November 20, 2017; June 14, 2018,",,15-Jun-18,0,0,1
184,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Early-Stage Development of Informatics Technologies for Cancer Research and Management (U01),PAR-15-332 ,,"November 20, 2015; June 14, 2016; November 21, 2016; June 14, 2017; November 20, 2017; June 14, 2018",,15-Jun-18,0,0,1
185,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U24,Advanced Development of Informatics Technologies for Cancer Research and Management (U24),PAR-15-331,,"November 20, 2015; June 14, 2016; November 21, 2016; June 14, 2017; November 20, 2017; June 14, 2018",,15-Jun-18,0,0,1
186,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U24,Sustained Support for Informatics Resources for Cancer Research and Management (U24),PAR-15-333,,"November 20, 2015; June 14, 2016; November 21, 2016; June 14, 2017; November 20, 2017; June 14, 2018",,15-Jun-18,0,0,1
187,Non-NIH Opportunities ,Research Projects,Other,Grand Challenge 100M Funding Call,,https://www.cancerresearchuk.org/funding-for-researchers/how-we-deliver-research/grand-challenge-award?utm_campaign=GC_peerreview_121015_ccmpe&utm_source=ccmp&utm_medium=email&cid=26113&mid=59030589&wssl=1,,"Multiple dates, see announcement.",2/12/2016,0,0,1
188,Selected NCI Opportunities,Research Projects,R01,Image-guided Drug Delivery (R01),PAR-16-044,,22-Nov-18,,23-Nov-18,0,0,1
189,Selected NCI Opportunities,Cooperative Agreements; Research Projects,U01,Opportunities for Collaborative Research at the NIH Clinical Center (U01),PAR-15-287,,"April 11, 2016; April 11, 2017; April 11, 2018 ",,12-Apr-18,0,0,1
190,Selected NCI Opportunities,SBIR/STTR; Research Projects,R44,"Direct Phase II SBIR Grants to Support Extended Development, Hardening, and Dissemination of Technologies in Biomedical Computing, Informatics, and Big Data Science (R44)",PAR-15-288,,,"Multiple dates, see announcement",6-Apr-17,0,0,1
191,Selected NCI Opportunities,Training/Education/Conference Support; Research Projects; Cooperative Agreements,Admin Supp,Research Supplements to Promote Re-Entry into Biomedical and Behavioral Research Careers ,PA-16-289,,,"Due dates may vary by awarding IC. See Table of IC-Specific Information, Requirements and Staff Contacts for more details. ",30-Sep-19,0,0,1
192,Selected NCI Opportunities,Training/Education/Conference Support; Research Projects,Admin Supp,Research Supplements to Promote Diversity in Health-Related Research ,PA-16-288,,,"Due dates may vary by awarding IC. See Table of IC-Specific Information, Requirements and Staff Contacts for more details. ",30-Sep-19,0,0,1
193,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects ,U54,Research Centers for Cancer Systems Biology Consortium (U54),RFA-CA-15-014,,"November 20, 2015; September 9, 2016; April 20, 2017",,21-Apr-17,0,0,1
194,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects ,U24,Coordinating Center for Cancer Systems Biology Consortium (U24),RFA-CA-15-015,,"November 20, 2015; September 9, 2016 ",,10-Sep-16,0,0,1
195,Selected NCI Opportunities,SBIR/STTR; Research Projects,R43/R44,SBIR Technology Transfer (R43/R44),PA-15-354,,,"Multiple dates, see announcement. ",6-Sep-18,0,0,1
196,Selected NCI Opportunities,Cooperative Agreements; Research Projects,UG3/UH3,"Cancer Detection, Diagnosis, and Treatment Technologies for Global Health (UG3/UH3)",RFA-CA-15-024,,9-Feb-16,,10-Feb-16,0,0,1
197,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U24,Genomic Data Analysis Network: Processing Genomic Data Center (U24),RFA-CA-15-018,,27-Jan-16,,28-Jan-16,0,0,1
198,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U24,Genomic Data Analysis Network: Visualization Genomic Data Center (U24),RFA-CA-15-019,,27-Jan-16,,28-Jan-16,0,0,1
199,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U24,Genomic Data Analysis Network: Specialized Genomic Data Center (U24),RFA-CA-15-020,,27-Jan-16,,28-Jan-16,0,0,1
200,Selected NCI Opportunities,SBIR/STTR; Research Projects,Admin Supp,Innovation Corps (I-Corps) at NIH Program for NIH and CDC Phase I Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Grantees ,PA-16-019,,"December 10, 2015; March 21, 2016",,22-Mar-16,0,0,1
201,CSSI Specific Opportunities,Cooperative Agreements; Research Projects,U24,Proteome Characterization Centers for Clinical Proteomic Tumor Analysis Consortium (U24),RFA-CA-15-021,,27-Jan-16,,28-Jan-16,0,1,1
202,CSSI Specific Opportunities,Cooperative Agreements; Research Projects,U01,Proteogenomic Translational Research for Clinical Proteomic Tumor Analysis Consortium (U01),RFA-CA-15-022,,27-Jan-16,,11-May-16,0,1,1
203,CSSI Specific Opportunities,Cooperative Agreements; Research Projects,U24,Proteogenomic Data Analysis Centers for Clinical Proteomic Tumor Analysis Consortium (U24),RFA-CA-15-023,,27-Jan-16,,28-Jan-16,0,1,1
204,CSSI Specific Opportunities,Non-Grant Research Support,Other,NCI Requests Cancer Targets for Monoclonal Antibody Production and Characterization,,https://antibodies.cancer.gov/apps/site/reagents-target-requests/,5-Feb-16,,5-Feb-16,0,1,1
205,Selected NCI Opportunities ,Research Projects,R21,Exploratory/Developmental Bioengineering Research Grants (EBRG) (R21),PA-16-040,,,Standard dates apply,8-Jan-19,0,0,1
206,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U24,Precision Medicine Initiative Cohort Program Participant Technologies Center (U24),RFA-PM-16-003,,17-Feb-16,,18-Feb-16,0,0,1
207,Selected NIH Opportunities ,SBIR/STTR; Research Projects,SB1,SBIR/STTR Commercialization Readiness Pilot (CRP) Program: Technical Assistance and Late Stage Development (SB1),PAR-16-027,,,"Multiple dates, see announcement. ",6-Apr-17,0,0,1
208,Selected NIH Opportunities ,SBIR/STTR; Research Projects,SB1,SBIR/STTR Commercialization Readiness Pilot (CRP) Program: Technical Assistance (SB1),PAR-16-026,,,"Multiple dates, see announcement. ",6-Apr-17,0,0,1
209,CSSI Specific Opportunities,Research Projects,R21,Innovative Technologies for Cancer-Relevant Biospecimen Science (R21),RFA-CA-16-003,,"February 26, 2016; May 26, 2016; September 26, 2016",,9/27/2016,0,1,1
210,CSSI Specific Opportunities,Research Projects,R33,Advanced Development and Validation of Emerging Molecular and Cellular Analysis Technologies for Basic and Clinical Cancer Research (R33),RFA-CA-16-002,,"February 26, 2016; May 26, 2016; September 26, 2016",,9/27/2016,0,1,1
211,CSSI Specific Opportunities,Research Projects,R33,Advanced Development and Validation of Emerging Technologies for Cancer-Relevant Biospecimen Science (R33),RFA-CA-16-004,,"February 26, 2016; May 26, 2016; September 26, 2016",,9/27/2016,0,1,1
212,CSSI Specific Opportunities,Research Projects,R21,Innovative Molecular and Cellular Analysis Technologies for Basic and Clinical Cancer Research (R21),RFA-CA-16-001,,"February 26, 2016; May 26, 2016; September 26, 2016",,9/27/2016,0,1,1
213,Selected NIH Opportunities ,Research Projects,S10,High-End Instrumentation (HEI) Grant Program (S10),PAR-16-053,,16-May-16,,"May 17,2016",0,0,1
214,Selected NIH Opportunities ,Research Projects,S10,Shared Instrumentation Grant (SIG) Program (S10),PAR-16-054,,,Not Applicable ,"May 17,2016",0,0,1
215,Selected NIH Opportunities ,SBIR/STTR; Research Projects,R43/R44,Development and Translation of Medical Technologies to Reduce Health Disparities (SBIR) (R43/R44),RFA-EB-16-001,,"March 4, 2016; July 6, 2016 ",,7/7/2016,0,0,1
216,CSSI Specific Opportunities,Non-Grant Research Support,Other,Request for Proposals (RFP S16-074) for production of Affinity Binders,,http://ncioa.cancer.gov/oa-internet/sbo/rqmt/allsolicit?execution=e1s1 ,1/22/2016,,1/22/2016,0,1,1
217,Selected NCI Opportunities,Research Projects,R01,U.S.-China Program for Biomedical Collaborative Research (R01),RFA-AI-16-006,,17-Mar-16,,18-Mar-16,0,0,1
218,Selected NCI-Led Opportunities,Training/Education/Conference Support,F99/K00,The NCI Predoctoral to Postdoctoral Fellow Transition Award (F99/K00),RFA-CA-16-005,,19-Feb-16,,20-Feb-16,0,0,1
219,Selected NCI Opportunities,Training/Education/Conference Support; Parent Announcements,Parent K99/R00,NIH Pathway to Independence Award (Parent K99/R00),PA-16-077,,,Standard dates apply,8-May-16,0,0,1
220,Selected NCI-Led Opportunities,Research Projects; Training/Education/Conference Support,P20,Feasibility Studies to Build Collaborative Partnerships in Cancer Research (P20),PAR-16-084,,"March 18, 2016; January 27, 2017; January 29, 2018",,30-Jan-18,0,0,1
221,Non-NIH Opportunities ,Research Projects; Training/Education/Conference Support,,2016 Bladder Cancer Advocacy Network (BCAN) Young Investigator Awards,,http://www.bcan.org/research/young-investigator-awards/,3/16/2016,,16-Mar-16,0,0,1
222,Non-NIH Opportunities ,Research Projects,,2016 Bladder Cancer Research Innovation Award,,http://www.bcan.org/research/grants/bladder-cancer-research-innovation-award/,25-Feb-16,,25-Feb-16,0,0,1
223,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Imaging and Biomarkers for Early Cancer Detection (U01),PAR-16-089,,"July 11, 2016; December 14, 2016; July 10, 2017; December 11, 2017; July 10, 2018; December 11, 2018",,12-Dec-18,0,0,1
224,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Cancer Tissue Engineering Collaborative: Enabling Biomimetic Tissue-Engineered Technologies for Cancer Research (U01),PAR-16-105,,"May 31, 2016; November 30, 2016; May 30, 2017; November 30, 2017; May 30, 2018; November 30, 2018",,"November 31, 2018",0,0,1
225,Selected NCI-Led Opportunities,SBIR/STTR; Research Projects,R44,"SBIR Phase II Bridge Awards to Accelerate the Development of Cancer Therapeutics, Imaging Technologies, Interventional Devices, Diagnostics, and Prognostics toward Commercialization (R44)",,RFA-CA-16-008,13-Jul-16,,14-Jul-16,0,0,1
226,Selected NIH Opportunities ,Training/Education/Conference Support,T15,NLM Institutional Grants for Research Training in Biomedical Informatics and Data Science (T15),,RFA-LM-16-001,18-Apr-16,,19-Apr-16,0,0,1
227,Selected NIH Opportunities ,Training/Education/Conference Support,K12,Institutional Research and Academic Career Development Awards (IRACDA) (K12),PAR-16-103 ,,"September 19, 2016; September 19, 2017; September 19, 2018",,20-Sep-18,0,0,1
228,Selected NIH Opportunities ,Training/Education/Conference Support,R25,Team-Based Design in Biomedical Engineering Education (R25),PAR-16-108,,"May 31, 2016; May 31, 2017; May 31, 2018",,1-Jun-18,0,0,1
229,Selected NIH Opportunities ,Training/Education/Conference Support,R25,Bridges to the Doctorate (R25),PAR-16-109,,"September 25, 2016; September 25, 2017; September 25, 2018",,26-Sep-18,0,0,1
230,Selected NIH Opportunities ,Training/Education/Conference Support,R25,Bridges to the Baccalaureate (R25),PAR-16-110,,"September 25, 2016; September 25, 2017 September 25, 2018",,26-Sep-18,0,0,1
231,Selected NIH Opportunities ,Training/Education/Conference Support,T34,Maximizing Access to Research Careers Undergraduate - Student Training in Academic Research (MARC U-STAR) (T34),PAR-16-113,,"May 25, 2016; May 25, 2017; May 25, 2018 ",,26-May-18,0,0,1
232,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,Bioengineering Research Partnerships (U01),PAR-16-116,,"May 18, 2016, September 13, 2016, May 18, 2017, September 13, 2017, May 8, 2018, September 13, 2018",,8-Jan-19,0,0,1
234,Selected NIH Opportunities ,Training/Education/Conference Support,Fi2,Intramural NIGMS Postdoctoral Research Associate (PRAT) Program (Fi2),PA-16-130,,"October 3, 2016; October 3, 2017; October 3, 2018 ",,4-Oct-18,0,0,1
235,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Emerging Questions in Cancer Systems Biology (U01),PAR-16-131,,"June 24, 2016; November 18, 2016; June 23, 2017; November 24, 2017; June 22, 2018; November 23, 2018",,24-Nov-18,0,0,1
236,Selected NCI-Led Opportunities,Training/Education/Conference Support,R25,Cancer Research Education Grants Program to Promote Diversity - Research Experiences (R25),PAR-16-138,,,"Multiple dates, see announcement.",8-Sep-18,0,0,1
237,Selected NCI-Led Opportunities,Training/Education/Conference Support,R25,Cancer Research Education Grants Program to Promote Diversity - Courses for Skills Development (R25),PAR-16-139,,,"Multiple dates, see announcement.",8-Sep-18,0,0,1
238,CSSI Specific Opportunities,Research Projects,R01,Revision Applications to R01 Awards for Research on the NCI's Provocative Questions (R01),RFA-CA-16-010,,"June 28, 2016; October 28, 2016",,29-Oct-16,0,1,1
239,CSSI Specific Opportunities,Cooperative Agreements; Research Projects,U01,Revision Applications to U01 Awards for Research on the NCI's Provocative Questions (U01),RFA-CA-16-011,,"June 28, 2016; October 28, 2016",,29-Oct-16,0,1,1
240,CSSI Specific Opportunities,Research Program Projects & Centers; Research Projects,P50,Revision Applications to P50 Awards for Research on the NCI's Provocative Questions (P50),RFA-CA-16-012,,"June 28, 2016; October 28, 2016",,29-Oct-16,0,1,1
241,CSSI Specific Opportunities,Research Program Projects & Centers; Research Projects,P01,Revision Applications to P01 Awards for Research on the NCI's Provocative Questions (P01),RFA-CA-16-013,,"June 28, 2016; October 28, 2016",,29-Oct-16,0,1,1
242,CSSI Specific Opportunities,Non-Grant Research Support,Other,Subcontract Opportunity - Thrombosis in Cancer Patients,,"Proposal Due Date: May 27, 2015
http://ncioa.cancer.gov/oa-internet/sbo/rqmt/allsolicit?execution=e1s1",,See additional details,28-May-16,0,1,1
243,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,U01,Integrating Biospecimen Science Approaches into Clinical Assay Development (U01),PAR-16-166,,"June 22, 2016; June 22, 2017",,23-Jun-17,0,0,1
244,Selected NCI-Led Opportunities,Research Projects,R21,Research Answers to NCIs Pediatric Provocative Questions (R21),PAR-16-217,,"June 30, 2016; November 24, 2016; June 23, 2017; November 24, 2017",,25-Nov-17,0,0,1
245,Selected NCI-Led Opportunities,Research Projects,R01,Research Answers to NCIs Pediatric Provocative Questions (R01),PAR-16-218,,"June 30, 2016; November 24, 2016; June 23, 2017; November 24, 2017",,25-Nov-17,0,0,1
246,Selected NIH Opportunities ,Training/Education/Conference Support; Parent Announcements,Parent K02,Independent Scientist Award (Parent K02),PA-16-192,,,"Standard dates apply, with the first due date on June 12, 2016 ",8-May-19,0,0,1
247,Selected NIH Opportunities ,Training/Education/Conference Support,R25,Growing Great Ideas: Research Education Course in Product Development and Entrepreneurship for Life Science Researchers (R25),RFA-DA-17-007,,20-Jul-16,,21-Jul-16,0,0,1
248,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,U01,NHLBI TOPMed Program: Integrative Omics Approaches for Analysis of TOPMed Data (U01) ,RFA-HL-17-011,,6-Jul-16,,7-Jul-16,0,0,1
249,Selected NIH Opportunities ,Training/Education/Conference Support,K01,NLM Career Development Award in Biomedical Informatics and Data Science (K01),PAR-16-204,,,Standard dates apply ,8-May-19,0,0,1
250,Selected NCI Opportunities,Training/Education/Conference Support,K01,BD2K Mentored Career Development Award in Biomedical Big Data Science for Clinicians and Doctorally Prepared Scientists (K01),RFA-ES-16-002,,1-Aug-16,,2-Aug-16,0,0,1
251,Selected NIH Opportunities ,Research Projects,R01,Bioengineering Research Grants (BRG) (R01),PAR-16-242,,,Standard dates apply ,8-May-19,0,0,1
252,Selected NCI Opportunities,Training/Education/Conference Support,T32,BD2K Predoctoral Training in Biomedical Big Data Science (T32),RFA-LM-16-002,,25-Jul-16,,26-Jul-16,0,0,1
253,Selected NCI Opportunities,Training/Education/Conference Support,R25,BD2K Open Educational Resources for Skills Development in Biomedical Big Data Science (R25),RFA-HG-16-016,,"August 2, 2016; August 2, 2017 ",,3-Aug-17,0,0,1
254,Selected NCI Opportunities,Cooperative Agreements; Research Projects,Admin Supp,Administrative Supplements to Existing NIH Grants and Cooperative Agreements (Admin Supp),PA-16-287,,,"Multiple dates, see announcement. ",26-May-19,0,0,1
255,Selected NIH Opportunities ,Research Projects,R21,"Bold New Bioengineering Methods and Approaches for Heart, Lung, Blood and Sleep Disorders and Diseases (R21)",RFA-HL-17-015,,"October 13, 2016; January 10, 2017; May 10, 2017; October 13, 2017; January 10, 2018; May 10, 2018; October 10, 2018; January 10, 2019; May 10, 2019",,11-May-19,0,0,1
256,Selected NCI-Led Opportunities,Cooperative Agreements; Research Projects,UG3/UH3,New Informatics Tools and Methods to Enhance US Cancer Surveillance and Research (UG3/UH3),PAR-16-349,,"October 14, 2016; April 14, 2017; November 30, 2017; April 16, 2018; November 30, 2018; April 16, 2019",,17-Apr-19,0,0,1
257,Selected NIH Opportunities ,Training/Education/Conference Support,RISE R25,Research Initiative for Scientific Enhancement (RISE) (R25),PAR-16-361,,,"May 25, 2017 and May 25, 2018",26-May-18,0,0,1
258,Selected NCI Opportunities,Cooperative Agreements; Research Projects,QuBBD,Joint NSF/NIH Initiative on Quantitative Approaches to Biomedical Big Data (QuBBD) ,NOT-EB-16-008,,28-Sep-16,,29-Sep-16,0,0,1
